Project Code,Project Sub-Code,Project Name,Project Type,Responsible Division,Plot Number,KPI Completed,Project Status,Contract Amount,Contract Status,Work Programme,Latitude,Longitude,Project Manager Email,Area Manager Email,Date Project Awarded,Workmanship only?,Advnace Payment Required,Client Name,Consultant Name,First Party name,Virtual Material Value
P474,,ALPS - Infra,Infrastructure Works,Infrastructure Division,,TRUE,Upcoming,"130,000.00",,Not Required,,,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE, ALPS MIDDLE EAST TECHNICAL WORKS L.L.C,, ALPS MIDDLE EAST TECHNICAL WORKS L.L.C,
P475,,Block and Block - Dubai Hills,Shoring Works,Enabling Division,63111413,TRUE,Completed,"953,000.00",Signed,Approved,25.128764,55.272457,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE, Mr. Ok Rye You,Emkaan Architecture & Engineering Consultancy,Block on Block Building Contracting LLC,
P476,,AMEC - Al Wasl,"Enabling Works, Shoring Works, Soil Improvement Works",Enabling Division,3435420,TRUE,Completed,"1,354,620.00",Signed,Approved,25.1969135,55.2554967,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,Mr. Nadim Pierre Serge Khouri , Al Manhal Engineering Consultants (AMEC), Al Manhal Engineering Consultants (AMEC),
P477,,SEDE - TRANSCO,Infrastructure Works,Infrastructure Division,,TRUE,Cancelled,"586,600.00",Signed,Not Required,,,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE, Transco ,Stantec, SOCIETE EGYPTIENNE D'ENTREPRISES,
P478,,Block and Block - Dubai Land,Shoring Works,Enabling Division,6488722,TRUE,On Going,"2,507,000.00",Signed,Submitted,25.095915,55.3764403,mohamed.ashraf@rabatpfc.com,eslam.ali@rabatpfc.com,,Full Package,FALSE,Premier Invest Holdings Limited,SkyLine Consulting Engineers,Block on Block Building Contracting LLC,
P479,,ASAK - Barsha South,Shoring Works,Enabling Division,6816740,TRUE,Completed,"769,600.00",Signed,Approved,25.055599,55.2186893,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,Mr. Hibatallah Aiman Jaber,Future Art Engineering Consultancy.,Al Serh Al Kabeer Contracting (ASAK),
P480,,Al Ajmi - Deira Island,"Enabling Works, Shoring Works, Piling Works, Soil Improvement Works",Enabling Division,1010487,TRUE,On Going,"2,980,000.00",Signed,Submitted,25.29219,55.2916726,ahmed.abdelhady@rabatpfc.com,abdulhamid.bakr@rabatpfc.com,,Full Package,FALSE,Mr. Mohanad Hatem Raheema Al Waeli & Mohammed Hatem Raheema Al Waeli,Al Ajmi Engineering Consultants,Al Ajmi Engineering Consultants,
P481,,Binghatti Ivory,Piling Works,Enabling Division,3261707,TRUE,Completed,"1,107,355.00",Signed,Approved,25.2106833,55.3152204,ahmed.nasr@rabatpfc.com,mohamed.ayman@rabatpfc.com,,Workmanship,FALSE,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,400.00%
P482,,Buhaleeba - Al Jadaf,"Enabling Works, Shoring Works, Piling Works",Enabling Division,3262977,TRUE,On Going,"4,925,000.00",Signed,Submitted,25.224842,55.332551,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,Mr. Abdulla Ali Hamad Saeed Buhaleeba,Al Ajmi Engineering Consultants, Buhaleeba Contracting,
P483,,Mar Marine - Piling,Piling Works,Enabling Division,-,TRUE,Completed,"722,393.00",Signed,Approved,25.2445428,55.2679013,ahmed.abdelhady@rabatpfc.com,abdulhamid.bakr@rabatpfc.com,,Workmanship,FALSE, Drydocks World,,Mar Marine & Building Contracting,300.00%
P484,,Samana Lake Views,"Enabling Works, Shoring Works",Enabling Division,6854310,TRUE,Completed,"1,660,000.00",Signed,Approved,25.0373134,55.200114,mohamed.hamdy@rabatpfc.com,abdulhamid.bakr@rabatpfc.com,,Full Package,FALSE,Samana Ifl Holding Limited,AREC Engineering Consultant,Samana Developers,
P485,,Samana California II,Soil Improvement Works,Soil Improvement Division,DG-CTLZ-003,TRUE,Completed,"425,000.00",Signed,Approved,25.0375942,55.142411,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,Samana Ifl Holding Limited,AREC Engineering Consultant,Samana Developers,
P486,,Innovo - Emirates Hills Villa,Shoring Works,Enabling Division,3940775,TRUE,Completed,"1,460,600.00",Signed,Approved,25.0657502,55.1799477,ahmed.atef@rabatpfc.com,mohamed.ayman@rabatpfc.com,,Full Package,FALSE,Ms. Mariam Emad Azmy ,AMEC,Innovo Build UAE,
P487,, DAMAC - ELO,"Enabling Works, Shoring Works",Enabling Division,91418303,TRUE,Completed,"1,993,709.58",Signed,Approved,24.9835753,55.3918272,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,Front Line Investment Management,Eng. Adnan Saffarini Office, DAMAC Properties Co. LLC,
P488,, DAMAC - Evergreens,"Enabling Works, Shoring Works",Enabling Division,91421707,TRUE,Completed,"1,449,320.00",Signed,Approved,24.9831702,55.391099,ahmed.hassan@rabatpfc.com,abdulhamid.bakr@rabatpfc.com,,Full Package,FALSE,Front Line Investment Management,Al Majal Engineering Consultants, DAMAC Properties Co. LLC,
P489,,Al Ajmi - Al Thamara - Al Barsha South Third,"Enabling Works, Shoring Works, Piling Works",Enabling Division,6730126,TRUE,Cancelled,"10,000,000.00",Signed,Pending,25.0678659,55.2463833,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,Al Thamara Investment ,Al Ajmi Engineering Consultants,Al Ajmi Engineering Consultants,
P490,,CPC - Major - RAK,Soil Improvement Works,Soil Improvement Division,602035140,TRUE,Completed,"647,744.00",Signed,Approved,25.6906753,55.7351558,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,Major Development FZ LLC,Federal Engineering Consultants, CPC Construction Piling Company,
P491,,Zabeel - Dubai Hills,Shoring Works,Enabling Division,6316397,TRUE,Completed,"841,750.00",Signed,Approved,25.114193,55.2589473,Planning@rabatpfc.com,Planning@rabatpfc.com,,Workmanship,FALSE,Mr. Paras Prakash Dhamecha ,Iconic Architectural & Engineering Consultants ,Zabeel Contracting,200.00%
P492,,Binghatti - Pinnacle - Al Jaddaf,Piling Works,Enabling Division,3261697,TRUE,Completed,"851,095.00",Signed,Approved,25.2140201,55.3090039,ahmed.nasr@rabatpfc.com,mohamed.ayman@rabatpfc.com,,Workmanship,FALSE,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,400.00%
P493,,Binghatti - Starlight - Al Jaddaf,Piling Works,Enabling Division,3261719,TRUE,Completed,"1,552,300.00",Signed,Approved,25.2125564,55.3190731,ahmed.nasr@rabatpfc.com,mohamed.ayman@rabatpfc.com,,Workmanship,FALSE,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,400.00%
P494,,AMEC - Umm Suqeim,"Enabling Works, Shoring Works",Enabling Division,3620389,TRUE,Cancelled,"639,300.00",In Progress,Pending,25.158712,55.2073433,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,Mr. Samya Mahmoud Ahmed Mohamed Alzarooni, Al Manhal Engineering Consultants (AMEC), Al Manhal Engineering Consultants (AMEC),
P495,,Future Art - Nadd Al Hamar,"Enabling Works, Shoring Works",Enabling Division,4165591,TRUE,Completed,"1,400,000.00",Signed,Approved,25.1894436,55.3787443,mohamed.ashraf@rabatpfc.com,eslam.ali@rabatpfc.com,,Full Package,FALSE,Mr. Khalid Abdulkarim Hussain Al Malik,Future Art Engineering Consultancy.,Future Art Engineering Consultancy.,
P496,,GOC - DEWA - Shoring,Infrastructure Works,Infrastructure Division,,FALSE,Upcoming,"2,000,000.00",In Progress,Not Required,,,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,DEWA,DEWA,Green Oasis Contracting L.L.C,
P497,,GUNAL - Metro Blue Line - Shoring,Infrastructure Works,Infrastructure Division,,FALSE,Upcoming,"200,000.00",In Progress,Not Required,25.1273075,55.3120767,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,RTA,Parsons & Atkins,Gunal Construction ,
P498,,Dutch - Emaar Marina Views,Soil Improvement Works,Soil Improvement Division,B7.01.02,TRUE,Completed,"1,550,000.00",Signed,Approved,25.2576477,55.276045,mahmoud.omara@rabatpfc.com,mohamed.hamza@rabatpfc.com,,Full Package,FALSE, EMAAR,Dynamic Design Studio,Dutch Foundation & Concrete Processing Co. LLC,
P499,,Al Shamandy - Al Khabaisi,Soil Improvement Works,Soil Improvement Division,1280343,TRUE,Completed,"400,000.00",Signed,Approved,25.2737619,55.3394561,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,Al Shamandi Group,Abdul Rahim Architectural Consultants,Al Shamandi Group,
P5001,,Al Saifi - Al Satwa,Shoring Works,Enabling Division,3343014,TRUE,Cancelled,"180,000.00",Signed,Pending,25.2257515,55.272362,Planning@rabatpfc.com,Planning@rabatpfc.com,1/8/2025,Full Package,FALSE,Hibatallah Aiman Jaber,Future Art Engineering Consultancy.,Al Saifi Building Contracting LLC,
P5002,P,Binghatti - Elite - Dubai Production City,Piling Works,Enabling Division,6854339,TRUE,On Going,"3,825,742.00",Signed,Submitted,25.0389254,55.1881355,mahmoud.abbas@rabatpfc.com,mohamed.ayman@rabatpfc.com,1/6/2025,Workmanship,FALSE,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,400.00%
P5002,S,Binghatti - Elite - Dubai Production City,Shoring Works,Enabling Division,6854339,TRUE,Completed,0,Signed,Approved,25.0389254,55.1881355,ahmed.nasr@rabatpfc.com,mohamed.ayman@rabatpfc.com,1/30/2025,Workmanship,FALSE,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,400.00%
P5003,P,Burt Place - Yas Island,Piling Works,Enabling Division,,TRUE,On Going,"2,600,000.00",Signed,Submitted,24.4626302,54.5966395,ahmed.abdelhady@rabatpfc.com,mohamed.ayman@rabatpfc.com,3/28/2025,Workmanship,FALSE,Burtville Developments, Al Shamkha Engineering Consultancy," BurtPlace  General Contracting LLC
",400.00%
P5003,S,Burt Place - Yas Island,Shoring Works,Enabling Division,,TRUE,Completed,"3,775,400.00",Signed,Approved,24.4626302,54.5966395,ahmed.salah@rabatpfc.com,mohamed.ayman@rabatpfc.com,1/12/2025,Workmanship,FALSE,Burtville Developments, Al Shamkha Engineering Consultancy," BurtPlace  General Contracting LLC
",200.00%
P5004,72-P,Shaanxi - Al Yalayis 2nd,Piling Works,Enabling Division,92225775,TRUE,Completed,"4,969,482.00",Signed,Approved,25.0039135,55.28769,mohamed.hosam@rabatpfc.com,abdulhamid.bakr@rabatpfc.com,1/13/2025,Full Package,FALSE, NSHAMA Properties, LACASA,Shaanxi Construction Engineering Group,
P5004,72-S,Shaanxi - Al Yalayis 2nd,Shoring Works,Enabling Division,92225775,TRUE,Completed,"408,000.00",Signed,Approved,25.0039135,55.28769,Planning@rabatpfc.com,Planning@rabatpfc.com,3/29/2025,Full Package,FALSE, NSHAMA Properties, LACASA,Shaanxi Construction Engineering Group,
P5004,73-P,Shaanxi - Al Yalayis 2nd,Piling Works,Enabling Division,92225795,TRUE,Completed,"4,826,068.00",Signed,Approved,25.0039135,55.28769,mohamed.hosam@rabatpfc.com,abdulhamid.bakr@rabatpfc.com,1/13/2025,Full Package,FALSE, NSHAMA Properties, LACASA,Shaanxi Construction Engineering Group,
P5004,73-S,Shaanxi - Al Yalayis 2nd,Shoring Works,Enabling Division,92225795,TRUE,Completed,"408,000.00",Signed,Approved,25.0039135,55.28769,mohamed.hosam@rabatpfc.com,Planning@rabatpfc.com,3/29/2025,Full Package,FALSE, NSHAMA Properties, LACASA,Shaanxi Construction Engineering Group,
P5005,,Urbanita - Dubai Islands,"Enabling Works, Soil Improvement Works",Soil Improvement Division,"DIA-RE-0307/
1010586",TRUE,Completed,"370,000.00",Signed,Approved,25.2972191,55.3169595,Planning@rabatpfc.com,Planning@rabatpfc.com,1/13/2025,Full Package,FALSE,Abdul Karim Suleman Wali Muhammad & Faisal Abdul Razzaq Admani Abdul Razzaq Admani,AREC Engineering Consultant, Urbanita Development,
P5006,,GOC - Palm Jabel Ali,Infrastructure Works,Infrastructure Division,-,FALSE,Upcoming,"500,000.00",Under Preperation,Not Required,,,Planning@rabatpfc.com,Planning@rabatpfc.com,1/6/2025,Full Package,FALSE,,,,
P5007,,Zabeel - Al Nahda,Shoring Works,Enabling Division,2410192,TRUE,Completed,"1,800,000.00",Signed,Approved,25.2897962,55.3709733,ahmed.hassan@rabatpfc.com,mohamed.hosam@rabatpfc.com,1/22/2025,Full Package,FALSE,Mr. Ali Sayed Mohammed Sayed Ibrahim Almoosawi,Bel-yoahah Architectural & Engineering Consultants, Zabeel Contracting LLC,
P5008,S,Al Rayan - Nadd Al Shiba 1st,Shoring Works,Enabling Division,6181304,TRUE,Completed,"540,000.00",Signed,Approved,25.15157,55.2882003,mohamed.ashraf@rabatpfc.com,eslam.ali@rabatpfc.com,2/3/2025,Full Package,FALSE,Mr. Salah Mohamed Amin Abdullah & Mohamed Khaled Daas Al Sharu,Dome Engineering Consultancy, Al Rayan Contracting,
P5008,SI,Al Rayan - Nadd Al Shiba 1st,Soil Improvement Works,Soil Improvement Division,6181304,TRUE,Completed,"460,000.00",Signed,Approved,25.15157,55.2882003,mahmoud.omara@rabatpfc.com,mohamed.hamza@rabatpfc.com,2/3/2025,Full Package,FALSE,Mr. Salah Mohamed Amin Abdullah & Mohamed Khaled Daas Al Sharu,Dome Engineering Consultancy, Al Rayan Contracting,
P5009,,Binghatti - Skyblade - Business Bay,Piling Works,Enabling Division,3450398,TRUE,On Going,"2,077,161.76",Signed,Submitted,25.189466,55.2723137,mahmoud.attia@rabatpfc.com,mohamed.ayman@rabatpfc.com,1/31/2025,Workmanship,FALSE,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,400.00%
P5010,,Kharafi - Pulse Beach Front,Infrastructure Works,Infrastructure Division,-,FALSE,Upcoming,"44,250.00",Signed,Not Required,,,Planning@rabatpfc.com,Planning@rabatpfc.com,2/5/2025,Full Package,FALSE,Dubai South,Khatib & Alami, Mohammed Abdulmohsin Al-Kharafi & Sons,
P5011,,High Beam - Nadd Al Shiba 1st,"Shoring Works, Soil Improvement Works",Enabling Division,6181292,TRUE,Completed,"331,480.00",Signed,Approved,25.1498522,55.2879692,Planning@rabatpfc.com,Planning@rabatpfc.com,2/12/2025,Full Package,FALSE,Mr. Saadi Abdulrahim Hassan Al Rais ,Al Fahidi Consulting Engineers,High Beam Contracting LLC,
P5012,,Palace - B25,Shoring Works,Enabling Division,3323892,TRUE,Completed,"502,000.00",Signed,Approved,25.2308277,55.2549408,mohamed.ashraf@rabatpfc.com,eslam.ali@rabatpfc.com,1/27/2025,Full Package,FALSE," Meraas Estates, M/s Princimare Twenty Five Limited", Al Manhal Engineering Consultants (AMEC),Palace Group LLC,
P5013,,Palace - B33,Shoring Works,Enabling Division,3323901,TRUE,Completed,"416,700.00",Signed,Approved,25.2275786,55.2481071,mohamed.ashraf@rabatpfc.com,eslam.ali@rabatpfc.com,1/28/2025,Full Package,FALSE," Meraas Estates, M/s Princimare Twenty Five Limited", Al Manhal Engineering Consultants (AMEC),Palace Group LLC,
P5014,,Palace - A18,Shoring Works,Enabling Division,3323762,TRUE,Cancelled,"549,000.00",Under Preperation,Pending,25.2255465,55.2471531,Planning@rabatpfc.com,Planning@rabatpfc.com,2/4/2025,Full Package,FALSE,MERAAS Estates, Al Manhal Engineering Consultants (AMEC),Palace Group LLC,
P5015,,Palace - LV54,Shoring Works,Enabling Division,3020413,TRUE,Cancelled,"1,182,500.00",Under Preperation,Submitted,25.2217924,55.2280709,Planning@rabatpfc.com,Planning@rabatpfc.com,2/10/2025,Full Package,FALSE,Jumeirah Bay LLC,Etereo Architecure & Design & Motion,Palace Group LLC,
P5016,,Living Space Design - Jumeirah First,Shoring Works,Enabling Division,3323893,TRUE,Completed,"967,550.00",Signed,Pending,25.227103,55.2509817,mahmoud.almawardi@rabatpfc.com,mahmoud.attia@rabatpfc.com,2/17/2025,Full Package,FALSE,Jean Michel Leonard Bordes," Creative Contemporary Architecural Design Consultancy
"," Creative Contemporary Architecural Design Consultancy
",
P5017,,Designfit - Lamer,"Enabling Works, Shoring Works",Enabling Division,3323845,TRUE,On Going,"700,520.00",Signed,Submitted,25.2261121,55.2506391,mahmoud.almawardi@rabatpfc.com,mahmoud.attia@rabatpfc.com,2/21/2025,Full Package,FALSE,Mr. Ryan Mahoney,Orient Crown Architectural, Designfit,
P5018,,GOC - Pipe Jacking,Infrastructure Works,Infrastructure Division,-,FALSE,Upcoming,"109,300.00",Under Preperation,Not Required,,,Planning@rabatpfc.com,Planning@rabatpfc.com,2/8/2025,Full Package,FALSE,DEWA,,Green Oasis General Contracting,
P5019,, INNOVO - Ghaf Woods Irrigation Pump Station,"Shoring Works, Infrastructure Works",Infrastructure Division,6460142,TRUE,Completed,"2,023,200.00",Signed,Pending,25.1515254,55.2871465,amr.adel@rabatpfc.com,eslam.ali@rabatpfc.com,3/5/2025,Full Package,FALSE, Majid Al Futtaim ,Parsons,Innovo Roads Infrastructure & Marine Works,
P5020,,Delta - Dubai Island,Soil Improvement Works,Soil Improvement Division,1010445,TRUE,Completed,"280,436.00",Signed,Approved,25.2867887,55.2958789,Planning@rabatpfc.com,Planning@rabatpfc.com,3/6/2025,Workmanship,FALSE,Masihullah Imtiaz,Jouzy Consulting Engineers,Delta Foundation Co. LLC,50.00%
P5021,,Walk Thru - Jumeirah First,Shoring Works,Enabling Division,3323820,TRUE,Completed,"215,000.00",Signed,Approved,25.2258736,55.2490982,Planning@rabatpfc.com,Planning@rabatpfc.com,3/7/2025,Full Package,FALSE,Mr. Chingis,NAGA Architects,Walk Thru Contracting ,
P5022,,Mud and Bricks - Nadd Al Shiba 1st,Soil Improvement Works,Soil Improvement Division,6189040,TRUE,Completed,"460,000.00",Signed,Approved,25.1644422,55.3053053,mahmoud.omara@rabatpfc.com,mohamed.hamza@rabatpfc.com,3/12/2025,Full Package,FALSE,Knowledge Fund Establishment,Plural Architecture and Design,Mud and Bricks Contracting Llc,
P5023,,CCECC - RTA Project,Soil Improvement Works,Soil Improvement Division,-,TRUE,On Going,"1,714,000.00",Signed,Submitted,,,mahmoud.omara@rabatpfc.com,mohamed.hamza@rabatpfc.com,3/24/2025,Full Package,FALSE,RTA,AECOM,China Civil Engineering Construction Corporation,
P5024,,Delta - Deira Island 591,Soil Improvement Works,Soil Improvement Division,1010591,TRUE,Completed,"258,900.00",Signed,Approved,25.288652,55.2942235,mahmoud.omara@rabatpfc.com,mohamed.hamza@rabatpfc.com,3/27/2025,Full Package,FALSE,Globe Luxury Island 239 Investments L.L.C,Jouzy Consulting Engineers,Delta Foundation Co. LLC,
P5025,C,ORASCOM - WAVE C2,"Shoring Works, Infrastructure Works",Infrastructure Division,-,TRUE,On Going,"1,638,600.00",Signed,Pending,,,amr.adel@rabatpfc.com,eslam.ali@rabatpfc.com,7/26/2025,Workmanship,FALSE,ADNOC ,ILF Consulting Engineers ,Orascom Construction,45.00%
P5025,D,ORASCOM - WAVE C2,"Shoring Works, Infrastructure Works",Infrastructure Division,-,FALSE,Upcoming,0,In Progress,Pending,,,amr.adel@rabatpfc.com,eslam.ali@rabatpfc.com,8/13/2025,Workmanship,FALSE,ADNOC ,ILF Consulting Engineers ,Orascom Construction,
P5025,E,ORASCOM - WAVE C2,"Shoring Works, Infrastructure Works",Infrastructure Division,-,TRUE,On Going,"1,115,600.00",Signed,Submitted,,,amr.adel@rabatpfc.com,eslam.ali@rabatpfc.com,4/5/2025,Workmanship,FALSE,ADNOC ,ILF Consulting Engineers ,Orascom Construction,45.00%
P5025,H,ORASCOM - WAVE C2,"Shoring Works, Infrastructure Works",Infrastructure Division,-,TRUE,On Going,"801,200.00",Signed,Submitted,,,amr.adel@rabatpfc.com,eslam.ali@rabatpfc.com,4/5/2025,Workmanship,TRUE,ADNOC ,ILF Consulting Engineers ,Orascom Construction,45.00%
P5025,J,ORASCOM - WAVE C2,"Shoring Works, Infrastructure Works",Infrastructure Division,-,TRUE,On Going,"764,400.00",Signed,Submitted,,,amr.adel@rabatpfc.com,eslam.ali@rabatpfc.com,4/5/2025,Workmanship,FALSE,ADNOC ,ILF Consulting Engineers ,Orascom Construction,45.00%
P5025,K,ORASCOM - WAVE C2,"Shoring Works, Infrastructure Works",Infrastructure Division,-,TRUE,On Going,"952,000.00",Signed,Pending,,,amr.adel@rabatpfc.com,eslam.ali@rabatpfc.com,7/26/2025,Workmanship,FALSE,ADNOC ,ILF Consulting Engineers ,Orascom Construction,45.00%
P5025,L,ORASCOM - WAVE C2,"Shoring Works, Infrastructure Works",Infrastructure Division,-,TRUE,Upcoming,"1,009,800.00",Signed,Pending,,,amr.adel@rabatpfc.com,eslam.ali@rabatpfc.com,7/26/2025,Workmanship,FALSE,ADNOC ,ILF Consulting Engineers ,Orascom Construction,45.00%
P5026,,Gulf Co - RAK,Soil Improvement Works,Soil Improvement Division,301014007,TRUE,Completed,"690,000.00",Signed,Not Required,,,mahmoud.omara@rabatpfc.com,mohamed.hamza@rabatpfc.com,4/7/2025,Full Package,FALSE,Emirates Health Services (EHS), Ministry of Energy and infrastructure,Gulf Co for Contracting & General Enterprises,
P5027,,Delta - Deira Island 207,Soil Improvement Works,Soil Improvement Division,1010532,TRUE,Completed,"261,380.00",Signed,Approved,25.286359,55.2986673,mahmoud.omara@rabatpfc.com,mohamed.hamza@rabatpfc.com,4/10/2025,Full Package,FALSE,Globe Unique Island 207 Investments L.L.C,Jouzy Consulting Engineers,Delta Foundation Co. LLC,
P5028,,Delta - Deira Island 257,Soil Improvement Works,Soil Improvement Division,1010334,TRUE,Completed,"374,520.00",Signed,Not Required,25.2991462,55.2955063,mahmoud.omara@rabatpfc.com,mohamed.hamza@rabatpfc.com,4/14/2025,Full Package,FALSE,Grand Circle One Real Estate Development L.L.C,Jouzy Consulting Engineers,Delta Foundation Co. LLC,
P5029,,INNOVO - Ghaf Woods - Drainage Pump Station,"Shoring Works, Infrastructure Works",Infrastructure Division,6460142,TRUE,Upcoming,"1,566,900.00",Signed,Pending,25.1515254,55.2871465,Planning@rabatpfc.com,Planning@rabatpfc.com,4/14/2025,Full Package,FALSE, Majid Al Futtaim ,Parsons,Innovo Roads Infrastructure & Marine Works,
P5030,,Dar Al Hai - Al Twar 1st,Soil Improvement Works,Soil Improvement Division,2260740,TRUE,Completed,"191,000.00",Signed,Approved,25.2726548,55.3545321,mahmoud.omara@rabatpfc.com,mohamed.hamza@rabatpfc.com,4/17/2025,Full Package,FALSE,Dubai Police General Headquarters,Madinati Engineering Consultant,Dar Al Hai Contracting ,
P5031,,Delta - Deira Island 239,Soil Improvement Works,Soil Improvement Division,1010532,TRUE,Completed,"280,644.00",Signed,Approved,25.2865252,55.2986883,mahmoud.omara@rabatpfc.com,mohamed.hamza@rabatpfc.com,4/23/2025,Full Package,FALSE,Globe Luxury Island 239 Investments L.L.C,Jouzy Consulting Engineers,Delta Foundation Co. LLC,
P5032,S,Al Rayan - 304 - Nadd Al Shiba 1st,Shoring Works,Enabling Division,6181304,TRUE,On Hold,"512,250.00",In Progress,Pending,25.1516092,55.2882263,Planning@rabatpfc.com,Planning@rabatpfc.com,4/28/2025,Full Package,FALSE,Mr. Salah Mohd Amin Abdulla & Mohd Khaled Daas Al Share,Dome Engineering Consultancy, Al Rayan Contracting,
P5032,SI,Al Rayan - 304 - Nadd Al Shiba 1st,Soil Improvement Works,Soil Improvement Division,6181304,TRUE,Upcoming,"532,300.00",In Progress,Pending,25.1516092,55.2882263,mahmoud.omara@rabatpfc.com,mohamed.hamza@rabatpfc.com,4/28/2025,Full Package,FALSE,Mr. Salah Mohd Amin Abdulla & Mohd Khaled Daas Al Share,Dome Engineering Consultancy, Al Rayan Contracting,
P5033,,Magnetic Electromechanical - ABU DHABI,Infrastructure Works,Infrastructure Division,-,FALSE,Upcoming,"27,500.00",In Progress,Pending,,,Planning@rabatpfc.com,Planning@rabatpfc.com,4/29/2025,Workmanship,FALSE,PAL Cooling ,Man Architectural Consultant,Magnetic Electromechanical Contracting,
P5034,,DAMAC - ELO 2 & 3,Enabling Works,Enabling Division,91421225,TRUE,Cancelled,"10,654,332.50",Under Preperation,Pending,,,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,Front Line Investment Management,Eng. Adnan Saffarini Office, DAMAC Properties Co. LLC,
P5035,,High Beam - Umm Al Sheif,Shoring Works,Enabling Division,3670313,TRUE,Completed,"646,600.00",Signed,Approved,25.1279163,55.1974401,ahmed.atef@rabatpfc.com,eslam.ali@rabatpfc.com,4/30/2025,Full Package,FALSE,Mr. Simin Ahari,Design Center,High Beam Contracting LLC,
P5036,,ECC - Al Wasl,Shoring Works,Enabling Division,3435503,TRUE,On Going,"1,183,100.00",Signed,Pending,25.1952847,55.2567916,mohamed.hamdy@rabatpfc.com,mohamed.ayman@rabatpfc.com,5/29/2025,Full Package,TRUE,Aurora Real Estate Development,Emkaan Architecture & Engineering Consultancy,ECC Fit Out Construction LLC,
P5037,,Delta - Deira Island 247,Soil Improvement Works,Soil Improvement Division,1010540,TRUE,Completed,"257,235.00",Signed,Approved,25.2970362,55.3144723,mahmoud.omara@rabatpfc.com,mohamed.hamza@rabatpfc.com,5/6/2025,Full Package,FALSE,U D S Real Estate L.L.C,Jouzy Consulting Engineers,Delta Foundation Co. LLC,
P5038,,Al Tamayoz - Deira Island,Soil Improvement Works,Soil Improvement Division,1010665,TRUE,Completed,"512,000.00",Signed,Approved,25.3224415,55.3233239,mahmoud.omara@rabatpfc.com,mohamed.hamza@rabatpfc.com,5/6/2025,Full Package,FALSE,Palm 51 SPV Limited,Archgroup Architects Engineering Consultants,Al Tamayoz Contracting Company LLC,
P5039,,Al Saraya - Deira Island,"Enabling Works, Shoring Works, Soil Improvement Works",Enabling Division,1010619,TRUE,On Going,"2,123,000.00",Signed,Submitted,25.3001062,55.3183513,mahmoud.omara@rabatpfc.com,mohamed.hamza@rabatpfc.com,5/8/2025,Full Package,FALSE,BML Investment LLC , Al Saraya Engineering Consultants,BML Investment LLC ,
P5040,,Binghatti - Moonlight,Piling Works,Enabling Division,3260912,TRUE,Upcoming,"1,940,180.00",In Progress,Pending,25.2250889,55.3413783,Planning@rabatpfc.com,Planning@rabatpfc.com,5/8/2025,Workmanship,FALSE,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,400.00%
P5041,,BCI - Al Merkadah,Shoring Works,Enabling Division,3470744,TRUE,Completed,"128,000.00",Signed,Approved,25.1760602,55.2812553,Planning@rabatpfc.com,Planning@rabatpfc.com,5/8/2025,Full Package,FALSE,Mr. Saeed Alizadeh,Image Engineering Consultant, Build Corp Interiors,
P5042,,High Beam - Meydan,"Shoring Works, Soil Improvement Works",Enabling Division,6189877,TRUE,On Going,"925,342.00",Signed,Submitted,25.1581718,55.3100231,mohamed.ashraf@rabatpfc.com,eslam.ali@rabatpfc.com,5/9/2025,Full Package,FALSE,M/s. FAM,M/s. NAGA,High Beam Contracting LLC,
P5044,,Delta - Deira Island 287,Soil Improvement Works,Soil Improvement Division,1010578,TRUE,Completed,"509,420.00",Signed,Approved,25.288503,55.294403,mahmoud.omara@rabatpfc.com,mohamed.hamza@rabatpfc.com,5/14/2025,Full Package,FALSE,U D S Real Estate L.L.C,Al Majal Engineering Consultants,Delta Foundation Co. LLC,
